--------------------
BDMEP - INMET
--------------------
Estação           : SAO LUIS - MA (OMM: 82280)
Latitude  (graus) : -2.53
Longitude (graus) : -44.21
Altitude  (metros): 50.86
Estação Operante
Inicio de operação: 18/11/1924
Periodo solicitado dos dados: 01/01/1998 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVento;Nebulosidade;
82280;23/04/1998;0000;26.8;26;94;1005.3;;;2;
82280;23/04/1998;1200;29.4;27.2;84;1005.7;;;8;
82280;23/04/1998;1800;28.8;27;87;1002.2;;;9;
82280;24/04/1998;0000;26.6;25.6;92;1004.4;;;4;
82280;24/04/1998;1200;29.8;26.4;77;1005.5;;;6;
82280;24/04/1998;1800;31;26.4;70;1002.5;;;5;
82280;25/04/1998;0000;27.2;26;91;1004.3;;;3;
82280;25/04/1998;1200;30;26.4;75;1005.2;;;4;
82280;25/04/1998;1800;31.3;27.2;73;1001.9;;;8;
82280;26/04/1998;0000;27;26;92;1004.3;;;2;
82280;26/04/1998;1200;30;26;73;1003.1;;;6;
82280;26/04/1998;1800;30;27;79;1000.7;;;8;
82280;27/04/1998;0000;25.2;24.5;94;1003.1;;;5;
82280;27/04/1998;1200;29;26;79;1003.6;;;10;
82280;27/04/1998;1800;29.2;26.2;79;1000.3;;;10;
82280;28/04/1998;0000;25.8;25;94;1002.7;;;9;
82280;28/04/1998;1200;28.6;26.6;86;1004.9;;;9;
82280;28/04/1998;1800;24.6;24;95;1003.5;;;10;
82280;29/04/1998;0000;25.4;24.8;95;1004.7;;;7;
82280;29/04/1998;1200;29;26;79;1005.6;;;8;
82280;29/04/1998;1800;28.6;26.6;86;1003.5;;;10;
82280;30/04/1998;0000;26.8;25.8;92;1004.1;;;5;
82280;30/04/1998;1200;29;26;79;1004.5;;;6;
82280;30/04/1998;1800;30.4;26.4;73;1001.2;;;5;
82280;01/05/1998;0000;27.2;26;91;1002.5;;;0;
82280;01/05/1998;1200;29.8;26.8;79;1004.4;;;6;
82280;01/05/1998;1800;31.6;27;70;1000.5;;;7;
82280;02/05/1998;0000;26.8;25.4;89;1002.6;;;4;
82280;02/05/1998;1200;29;26;79;1004.5;;;10;
82280;02/05/1998;1800;30.6;25.9;69;1001.9;;;8;
82280;03/05/1998;0000;26.4;25;89;1003.7;;;5;
82280;03/05/1998;1200;29.4;26.6;80;1005.5;;;8;
82280;03/05/1998;1800;29;26.4;82;1002.8;;;9;
82280;04/05/1998;0000;26.6;25.4;91;1004.5;;;3;
82280;04/05/1998;1200;29.2;26.6;82;1005.7;;;7;
82280;04/05/1998;1800;29.4;27;83;1003;;;9;
82280;05/05/1998;0000;26.6;25.6;92;1004.2;;;7;
82280;05/05/1998;1200;30;26;73;1004.7;;;5;
82280;05/05/1998;1800;31.8;26.8;68;1003;;;4;
82280;06/05/1998;0000;26.6;25;88;1004.2;;;5;
82280;06/05/1998;1200;30;26.4;75;1005.3;;;5;
82280;06/05/1998;1800;31;26;67;1003.2;;;8;
82280;07/05/1998;0000;26.8;25;86;1004.9;;;3;
82280;07/05/1998;1200;29.8;26.8;79;1006;;;5;
